title	short_title	link	saleprice	oldprice	reviews	percentoff
ANNKE Ultra HD 4K 8-Channel H.265 CCTV Camera System W/ 1TB HDD and (4) 4K Weatherproof Cameras with EXIR LED IR Night Vision, Email Alert with Snapshots, Smart Search, Remote Access	ANNKE Ultra HD 4K 8-Chann	/ANNKE-8-Channel-Weatherproof-Cameras-Snapshots/dp/B07PDBS3P8/ref=sr_1_65?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252027&s=black-friday&sr=1-65	223.99	319.99	61	30.00093753
Square Card Reader - Accept Contactless and Chip & PIN, Apple Pay and Google Pay	Square Card Reader - Acce	/Square-Card-Reader-Accept-Contactless/dp/B06XRWD4BD/ref=sr_1_160?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252046&s=black-friday&sr=1-160	15.99	22.8	0	29.86842105
SanDisk Ultra 3D SSD 1TB up to 560MB/s Read / up to 530MB/s Write, Black	SanDisk Ultra 3D SSD 1TB 	/SanDisk-Ultra-560MB-530MB-Write/dp/B071KGRXRG/ref=sr_1_46?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252024&s=black-friday&sr=1-46	84.99	120.99	0	29.75452517
Buluri Cable Organizer Bag Portable Travel Electronics Accessories Storage Cases for Charging Cables, USB Cables, Headphone Cords, Hard Drives, Black	Buluri Cable Organizer Ba	/Buluri-Organizer-Electronics-Accessories-Headphone/dp/B0776D7ZDL/ref=sr_1_162_mod_primary_lightning_deal?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252049&s=black-friday&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&smid=A1FS2WYNWRMAD5&sr=1-162	6.3	8.88	418	29.05405405
Crucial P5 2 TB CT2000P5SSD8 Internal Solid State Drive-up to 3400 MB/s (3D NAND, NVMe, PCIe, M.2, 2280SS)	Crucial P5 2 TB CT2000P5S	/Crucial-CT2000P5SSD8-Internal-Drive-up-2280SS/dp/B0892TWDP1/ref=sr_1_95?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252033&s=black-friday&sr=1-95	223.99	315.59	648	29.02500079
Crucial P5 2 TB CT2000P5SSD8 Internal Solid State Drive-up to 3400 MB/s (3D NAND, NVMe, PCIe, M.2, 2280SS)	Crucial P5 2 TB CT2000P5S	/Crucial-CT2000P5SSD8-Internal-Drive-up-2280SS/dp/B0892TWDP1/ref=sr_1_99?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252037&s=black-friday&sr=1-99	223.99	315.59	648	29.02500079
Seagate Game Drive for PS4 2Â TB External Hard Drive Portable HDD - USB 3.0 The Last of Us II Special Edition, Designed for PS4 (STGD2000202)	Seagate Game Drive for PS	/Seagate-Game-Drive-External-Portable/dp/B086M1WRKQ/ref=sr_1_10?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252021&s=black-friday&sr=1-10	63.99	89.99	0	28.89209912
Samsung T7 Touch Portable SSD - 1 TB - USB 3.2 Gen.2 External SSD Metallic Silver (MU-PC1T0S/WW)	Samsung T7 Touch Portable	/Samsung-Touch-Portable-SSD-MU-PC1T0S/dp/B082VVMNK2/ref=sr_1_30?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252021&s=black-friday&sr=1-30	137.99	193.99	654	28.8674674
UGREEN USB C Hub Adapter Type C to 4 Ports USB 3.0 Data Hub USB Splitter Compatible with Macbook Pro/Air 2020, iPad Pro, XPS, Zenbook, ThinkPad, Ideapad, Envy, Elitebook, more	UGREEN USB C Hub Adapter 	/UGREEN-Splitter-Portable-Extension-Compatible/dp/B07Q29N6H1/ref=sr_1_120?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252040&s=black-friday&sr=1-120	9.35	12.99	0	28.02155504
Premium Cord Hard Drive 80 Wire Flat Cable ATA133 3 Port 60 cm	Premium Cord Hard Drive 8	/Premium-Cord-Drive-Cable-ATA133/dp/B07NSV6SX9/ref=sr_1_78?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252030&s=black-friday&sr=1-78	7.49	10.36	18	27.7027027
